;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1
S16;Resting open;0.036105659;0.040717637;0.023318345;0.029163396;0.035347429;0.043563541;0.025703973;0.034309125;0.0414591;0.045942671;0.025770036;0.029844972;0.034322104;0.03844372;0.022479299;0.02602393;0.031987122;0.037094347;0.022075771;0.029391696;0.032129451;0.036249529;0.022115027;0.021620816;0.029412686;0.033081063;0.020607341;0.020466555;6.11152;5.75922;-5.00191;-0.404652
S18;Resting open;0.02801387;0.039960461;0.024140591;0.029599731;0.027094558;0.040961194;0.023983359;0.030963873;0.028222997;0.043154082;0.027003983;0.031842669;0.028687619;0.037597913;0.023729757;0.028588372;0.026483485;0.039960697;0.027748096;0.030299228;0.0207769;0.035334621;0.03044365;0.030492408;0.021524339;0.034163222;0.03242016;0.02958305;1.63262;5.44336;-4.19511;1.30085
S20;Resting open;0.038188511;0.040902055;0.020254571;0.025282718;0.037818719;0.042724381;0.021777587;0.025622764;0.0399765;0.043067883;0.024594265;0.028588151;0.03952986;0.040058771;0.018691083;0.02623619;0.038202631;0.038315823;0.018295671;0.025831824;0.034005941;0.035367694;0.02105933;0.021115731;0.034848423;0.032750686;0.016865355;0.020858977;7.91252;5.61214;-5.65696;-1.74297
S21;Resting open;0.041269631;0.03454085;0.019324704;0.019270268;0.04626614;0.038642269;0.021143299;0.022417967;0.046911997;0.038253768;0.024361957;0.025130043;0.04147206;0.035814538;0.021340946;0.018604615;0.04639138;0.038022903;0.020293621;0.018241267;0.037216904;0.029478604;0.015870412;0.015790949;0.037961838;0.029971616;0.015900299;0.015154138;10.6443;3.32975;-5.7675;-4.81918
S22;Resting open;0.032799374;0.02294762;0.017165155;0.052180723;0.033127369;0.022286442;0.017073571;0.053473102;0.030504332;0.021785156;0.017064858;0.052172965;0.030808812;0.022135116;0.017861011;0.051149079;0.030928856;0.022881309;0.016649755;0.047946824;0.028783501;0.022312785;0.013997614;0.050279001;0.027307111;0.021658992;0.01546988;0.050551693;4.10866;-3.65156;-6.49171;12.8063
S23;Resting open;0.036152217;0.036769631;0.030113841;0.027959595;0.038020304;0.03607979;0.030103839;0.025091969;0.037084042;0.037140744;0.031221947;0.023734906;0.035486607;0.038364946;0.03133087;0.033697686;0.034238298;0.037016661;0.03065793;0.028822007;0.031183202;0.032164344;0.025747685;0.018597106;0.028797547;0.032457081;0.028973172;0.021362324;6.19855;3.78379;-3.54154;-1.25892
S24;Resting open;0.033494635;0.029619923;0.037587258;0.017238157;0.032714208;0.030658999;0.037255054;0.018637408;0.034022714;0.031781965;0.046944522;0.024138498;0.032073705;0.030218616;0.043042444;0.018064086;0.031966745;0.032562143;0.047533259;0.021483154;0.031430303;0.031117417;0.040381281;0.019808679;0.033377926;0.031364632;0.050441137;0.022602852;5.25528;1.20976;-0.619085;-4.17697
S2;Resting;0.010806638;0.02583712;0.068988509;0.021714245;0.010771524;0.025900471;0.069505179;0.021915892;0.009924424;0.02763586;0.079541312;0.027813538;0.010096237;0.024230606;0.072817702;0.01687808;0.009971478;0.023798524;0.083872756;0.016477497;0.010342169;0.024079758;0.073887345;0.019327818;0.011827947;0.022316702;0.076956478;0.015385235;-6.80367;-2.25456;6.45711;-4.41601
S3;Resting;0.015262071;0.016681236;0.034593067;0.050883401;0.018358923;0.019587171;0.036547835;0.058894049;0.018410833;0.017365481;0.041214861;0.062006981;0.015415796;0.018623277;0.036382134;0.053581231;0.018375503;0.020973533;0.050887213;0.065487448;0.017590264;0.019693105;0.038641854;0.051355996;0.012935776;0.017323512;0.038573694;0.052872936;-3.61894;-5.70681;-1.45295;15.568
S5;Resting;0.007526;0.010376674;0.065798095;0.045331007;0.006639572;0.011796371;0.078313407;0.05765797;0.008426817;0.011467909;0.082190801;0.06332936;0.007789546;0.009209836;0.061603544;0.039508737;0.007705987;0.009083688;0.063395546;0.042042404;0.006874643;0.010138759;0.060543915;0.040706309;0.007488846;0.00995662;0.059001727;0.033627159;-8.45687;-10.3247;4.82134;9.72357
S6;Resting;0.008546755;0.014735703;0.070658927;0.022947303;0.008341649;0.01488573;0.076191851;0.026279047;0.008179694;0.015166092;0.085882618;0.037296272;0.007656328;0.014504116;0.092735693;0.026191696;0.007088038;0.01304691;0.128765196;0.033214702;0.007936909;0.013910443;0.067897938;0.018487639;0.006340676;0.012510271;0.073520257;0.01525102;-8.37247;-8.20339;8.558;-1.4457
S7;Resting;0.021631958;0.028018275;0.03841667;0.022155952;0.017651658;0.029685408;0.040016309;0.023536836;0.018525637;0.029806465;0.044751222;0.024531252;0.021845666;0.035731782;0.046162057;0.023916554;0.019446456;0.033335832;0.057023813;0.028721709;0.049367231;0.038666333;0.034994656;0.019456925;0.038964194;0.033091573;0.037248068;0.021496857;1.19913;2.12497;-0.733514;-2.4885
S10;Resting;0.005549823;0.012721171;0.08927234;0.012760997;0.005553831;0.011426415;0.093071226;0.012232643;0.005603374;0.011231464;0.099069063;0.012548597;0.005547611;0.01336491;0.102118663;0.013942746;0.005719847;0.014565158;0.127551561;0.015864259;0.005551476;0.011289234;0.0919942;0.011101346;0.005733815;0.0128981;0.099646177;0.011914599;-9.49483;-9.09886;12.0154;-8.20287
S11;Resting;0.006330313;0.007662774;0.08675947;0.010578864;0.006459375;0.008060679;0.100028029;0.010762254;0.005843722;0.008324718;0.109984335;0.011396888;0.006151853;0.007490167;0.094779232;0.010886475;0.005897108;0.008100092;0.116393528;0.012883236;0.005448804;0.008125243;0.1476366;0.011246316;0.005642022;0.00727482;0.125963605;0.011520542;-9.2825;-11.6769;14.4213;-9.05603
S13;Resting;0.026891663;0.029126025;0.024340954;0.05017243;0.026602498;0.027196294;0.024619452;0.050435692;0.027297814;0.027050785;0.025723635;0.055336291;0.025655207;0.028693453;0.025280203;0.05647977;0.026172339;0.026965938;0.023392709;0.055121543;0.026571927;0.023732481;0.019988984;0.040444696;0.0260972;0.025795052;0.021377183;0.046765569;1.7982;-1.07526;-4.91232;12.4033
S14;Resting;0.014397188;0.016674321;0.068808211;0.016973634;0.01613691;0.016230966;0.076058145;0.0191452;0.017307829;0.019756632;0.093542342;0.036320974;0.014588955;0.017936798;0.072158824;0.016456529;0.014351976;0.02062506;0.079924461;0.017698967;0.013393075;0.015815868;0.07884264;0.019869762;0.013620614;0.016339868;0.085581483;0.017603747;-4.46867;-6.27747;7.3442;-4.16378
S15;Resting;0.004492372;0.010219933;0.095711089;0.015886045;0.00505393;0.011667085;0.118819854;0.01787766;0.004952979;0.011686202;0.119202792;0.016896916;0.004275102;0.010826508;0.090435342;0.015168592;0.004646623;0.012558586;0.097947492;0.015851167;0.004382019;0.010203681;0.095385284;0.013531659;0.003563339;0.009744745;0.077391355;0.012871544;-10.1179;-9.95411;11.9734;-6.83296
S16;Resting;0.018132716;0.022059064;0.07140498;0.022981415;0.018648165;0.021418712;0.071081366;0.025044447;0.017801854;0.022172886;0.061741799;0.022935389;0.016260783;0.020742377;0.070247886;0.021596033;0.015280317;0.020568273;0.067373182;0.022188975;0.013520736;0.016254191;0.075978183;0.01792901;0.012837233;0.016985389;0.08934799;0.019101747;-3.75839;-4.93899;5.95019;-3.41311
S18;Resting;0.018743627;0.03327062;0.035703177;0.032399878;0.015141944;0.03644078;0.038279791;0.036290258;0.01556389;0.041803872;0.048786004;0.040905677;0.022475719;0.036690279;0.03442728;0.034410716;0.017864798;0.033434789;0.040657127;0.037900037;0.0150235;0.03527331;0.040231548;0.032774819;0.017206082;0.031524219;0.036792684;0.033412146;-2.95452;3.6573;-1.47651;4.08958
S20;Resting;0.014075598;0.014898226;0.096791014;0.018498075;0.014379626;0.011433213;0.096791832;0.019377205;0.005991989;0.007883702;0.107346843;0.020547934;0.004475124;0.006711701;0.09840878;0.018274785;0.004089815;0.00634337;0.110270059;0.01960604;0.005910556;0.006934678;0.108614484;0.017810646;0.003560909;0.00500293;0.096491001;0.014432585;-8.4348;-11.3372;12.5173;-5.23219
S21;Resting;0.021643268;0.036961362;0.028339;0.02929007;0.021345501;0.044838794;0.028931028;0.03222966;0.02134602;0.044451181;0.03531313;0.037532353;0.023075397;0.03537693;0.034141181;0.032273828;0.023787837;0.037548532;0.032360473;0.029732584;0.018125362;0.034255373;0.023136259;0.022693951;0.018928604;0.02965891;0.023950734;0.023594594;-0.943861;4.78122;-3.60834;0.823456
S22;Resting;0.014496297;0.016619548;0.039696008;0.054360523;0.014014685;0.016670157;0.041357188;0.054610569;0.013868098;0.016093969;0.039776818;0.053541748;0.01228927;0.016928062;0.043592666;0.053933418;0.012174709;0.018869477;0.040718752;0.053387679;0.013646959;0.015229665;0.03932469;0.052875776;0.012444041;0.015863728;0.046722608;0.054232568;-5.36916;-6.82264;-0.918995;14.3226
S23;Resting;0.011276084;0.010652038;0.092593249;0.01426347;0.011137001;0.010340885;0.093732227;0.01355194;0.010530895;0.010764072;0.100329458;0.013033326;0.011780861;0.010867333;0.101482471;0.016960395;0.011231385;0.010145445;0.110249699;0.014372796;0.009780741;0.009702789;0.086980801;0.009769245;0.010058854;0.010434363;0.107569581;0.010931861;-6.62487;-10.2545;11.7683;-8.019
S24;Resting;0.008399111;0.007447936;0.084911482;0.006367291;0.008404777;0.007926498;0.078180917;0.006918917;0.008883473;0.008693306;0.111783888;0.008874833;0.00772029;0.007958444;0.122312652;0.00704859;0.007094702;0.008819438;0.142116514;0.008631026;0.008007909;0.007367922;0.077641373;0.00692914;0.007050458;0.007702342;0.173091256;0.008332355;-8.25272;-11.6135;14.418;-11.1274
S2;Square left;0.028017488;0.044930568;0.023576215;0.02288909;0.027939952;0.044842412;0.023528812;0.023050876;0.028816309;0.045346853;0.023203438;0.022935388;0.03214136;0.045593434;0.026114795;0.02417655;0.027245896;0.044919052;0.02549969;0.023514748;0.026658306;0.041678019;0.022045635;0.021547743;0.024340538;0.039098644;0.021601173;0.021486836;2.61017;8.26588;-4.89332;-2.76279
S3;Square left;0.045048267;0.043464329;0.012658019;0.021177316;0.048435747;0.044386628;0.014054143;0.022995587;0.050026077;0.044553075;0.013982357;0.021850674;0.041592086;0.041699594;0.012264234;0.021317433;0.041123952;0.042522662;0.011615731;0.023384972;0.038720333;0.044844236;0.014395369;0.020673987;0.040199002;0.038374006;0.011940425;0.019973008;11.2193;7.7634;-7.27422;-3.41496
