;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4
S24;Resting Open;0.02798459125014527;0.03844541295204498;0.028204936423706906;0.02204970003650838;0.029048406262151053;0.03860036157112564;0.029387596154858163;0.02361679609966984;0.026924076505191477;0.04329275101141979;0.03362137679863531;0.029068746079978315;0.03196343824787167;0.03989240053867049;0.03050176973122677;0.0232290681912739;0.035049133341279924;0.043707323458284826;0.03431092772337442;0.025764646676318885;0.025827616396879565;0.03648531831746087;0.03350183426936359;0.024449591285671833;0.03175964297251195;0.042151940457706205;0.03546215471877137;0.025459348118999085
S3;Resting;0.015262071320536509;0.01668123606785143;0.03459306710144299;0.050883401060581514;0.018358923398167606;0.019587171477945652;0.036547835498201335;0.05889404864896403;0.018410832612046773;0.017365480966028714;0.041214860876406;0.06200698130593406;0.015415795513319609;0.01862327712289581;0.03638213389125563;0.05358123059512882;0.018375503112371124;0.020973532696152614;0.05088721346264143;0.06548744817225732;0.017590263631333914;0.01969310512640906;0.03864185354038592;0.05135599600392886;0.012935776103400916;0.01732351151417513;0.03857369390639004;0.05287293642127224
S5;Resting;0.007526000277647039;0.010376673977177073;0.06579809492637363;0.04533100718121239;0.006639571906015492;0.011796370631562286;0.07831340687854016;0.057657969786011974;0.008426817061548431;0.011467908833204837;0.08219080050998069;0.06332935966299888;0.007789545781497204;0.009209835973728651;0.06160354447197308;0.03950873650745472;0.0077059867851089975;0.009083688104639302;0.06339554561991297;0.04204240369731316;0.006874643329265006;0.010138758963515812;0.060543914620844456;0.04070630930107143;0.007488845619880583;0.009956619747458354;0.05900172661868339;0.033627158864304396
S6;Resting;0.008546755018351072;0.014735702749787137;0.0706589268276628;0.022947302694967576;0.008341649414225362;0.014885730086835266;0.07619185064612524;0.026279046680883173;0.008179693956582641;0.015166092215976017;0.08588261806424684;0.037296271994797854;0.007656328437700094;0.014504116391907391;0.09273569342670843;0.026191696156589766;0.007088038052223133;0.01304690955156455;0.12876519564469385;0.03321470205759978;0.007936908798571863;0.013910442870881083;0.06789793765401787;0.01848763903912992;0.006340676116966196;0.012510271013979503;0.07352025671633229;0.015251020236938133
S10;Resting;0.005549822712486524;0.012721170912963;0.08927233999656192;0.012760996836618075;0.005553830598513997;0.011426415455855318;0.09307122586822553;0.012232643141782962;0.005603374384463404;0.011231463909645712;0.09906906264547587;0.012548596559853116;0.005547610811838157;0.013364910077281375;0.10211866344570869;0.013942745973575298;0.005719846749417914;0.01456515790323003;0.12755156114080116;0.015864259239137063;0.005551475570728613;0.011289234109950625;0.09199420006257585;0.01110134644756618;0.005733815251412298;0.012898100240824453;0.09964617748686866;0.011914598888825328
S14;Resting;0.014397188080551597;0.016674321292787928;0.06880821067482329;0.016973634402079666;0.016136910436949963;0.01623096556949394;0.07605814469849137;0.019145199681215606;0.0173078294808721;0.019756631740419552;0.09354234209506801;0.036320973768862924;0.014588955281510075;0.017936797769869194;0.0721588239995408;0.016456529059241345;0.014351975563463739;0.0206250597324592;0.0799244611278077;0.017698967411756125;0.013393075418384859;0.01581586777629618;0.0788426401979774;0.019869762139363135;0.013620614310317206;0.016339867574789297;0.08558148323529334;0.017603747321196878
S15;Resting;0.004492372353331748;0.010219932749823421;0.09571108873675972;0.0158860453530798;0.005053929655347025;0.011667084668891698;0.11881985416210517;0.017877660094272975;0.004952979471279175;0.01168620249104907;0.11920279199190702;0.016896915605577493;0.004275102040949876;0.010826508053382642;0.0904353422365431;0.015168591579932526;0.004646622588650069;0.01255858560847029;0.09794749170304791;0.0158511668027835;0.004382019442238492;0.010203680616463933;0.09538528433519218;0.013531658835287744;0.003563339476932512;0.00974474516953428;0.07739135521150292;0.012871543783618686
S16;Resting;0.01813271566777925;0.022059063594685305;0.07140497967345595;0.02298141485629547;0.01864816455951721;0.02141871198776724;0.07108136644802217;0.02504444711437912;0.017801854429478698;0.02217288647311673;0.061741798841206764;0.022935389009276122;0.016260782778311725;0.020742376507463654;0.0702478855368449;0.021596033261199743;0.015280316601315565;0.020568273281725634;0.0673731822506068;0.022188974973273875;0.013520736413034487;0.016254190888686713;0.07597818272573373;0.017929009938184585;0.012837232528278984;0.016985389057494617;0.08934799012460666;0.01910174727940653
S21;Resting;0.021643268375318228;0.03696136198573383;0.028338999706323826;0.029290069638968314;0.0213455007338852;0.0448387943932716;0.02893102803468734;0.03222966037044087;0.02134601994997606;0.04445118092886071;0.03531312966259575;0.03753235335678774;0.02307539679765906;0.03537693013052532;0.03414118142297946;0.032273828117459595;0.023787837066050047;0.03754853150178822;0.03236047264004488;0.02973258366248826;0.018125362086371992;0.034255373049418975;0.02313625888423082;0.022693951125988533;0.018928604305296148;0.02965891026618651;0.02395073379181956;0.023594594407175006
S22;Resting;0.014496297375750639;0.01661954849283364;0.03969600848591195;0.05436052272240672;0.014014684828338658;0.016670157161831938;0.04135718787202162;0.05461056911834502;0.013868097777272414;0.01609396860987231;0.03977681830979691;0.053541748449493824;0.012289269700029233;0.016928061510747897;0.04359266648098561;0.05393341797879649;0.01217470897213911;0.018869476647895393;0.040718751675360855;0.0533876787897645;0.013646958629737837;0.01522966469040975;0.03932469005394745;0.052875775524777666;0.01244404056667132;0.015863727670493093;0.04672260838645665;0.05423256757828693
