;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4
S21;Resting Open;0.0375643731677687;0.03862375831024917;0.022356766057893718;0.02289199461047869;0.04226208265717872;0.037746202096844796;0.023467832209274554;0.02555203304396612;0.0373705841028327;0.03904058845197422;0.029779697507517564;0.028541472194665674;0.03509441825298477;0.03567325881080064;0.024601942533105013;0.02326707068556112;0.03541524798084907;0.03455421322722811;0.023130411243533988;0.022993411900236675;0.030171169351048056;0.030848136637710348;0.017334258027044944;0.01820118944108819;0.03255254846019687;0.03162548722667526;0.018443591656258453;0.018150084746744163
S22;Resting Open;0.029612334917700184;0.02708417573830785;0.017339258157456818;0.057756258173097985;0.02474192102888849;0.025327446382027715;0.018900469093316212;0.05813887765516295;0.024724508364298542;0.025604774094051496;0.018066023407160316;0.057015417087352326;0.026318912833215646;0.025687838718859286;0.017177005189043082;0.05560029661133365;0.02553361998208007;0.023679581130340348;0.016179578465808586;0.05275319880476803;0.022562275901679255;0.02509805156325609;0.01700720497415323;0.05474925465383423;0.02395341502588638;0.022691191990699848;0.018792015490939604;0.05536090542910278
S24;Resting Open;0.02798459125014527;0.03844541295204498;0.028204936423706906;0.02204970003650838;0.029048406262151053;0.03860036157112564;0.029387596154858163;0.02361679609966984;0.026924076505191477;0.04329275101141979;0.03362137679863531;0.029068746079978315;0.03196343824787167;0.03989240053867049;0.03050176973122677;0.0232290681912739;0.035049133341279924;0.043707323458284826;0.03431092772337442;0.025764646676318885;0.025827616396879565;0.03648531831746087;0.03350183426936359;0.024449591285671833;0.03175964297251195;0.042151940457706205;0.03546215471877137;0.025459348118999085
S3;Resting;0.015262071320536509;0.01668123606785143;0.03459306710144299;0.050883401060581514;0.018358923398167606;0.019587171477945652;0.036547835498201335;0.05889404864896403;0.018410832612046773;0.017365480966028714;0.041214860876406;0.06200698130593406;0.015415795513319609;0.01862327712289581;0.03638213389125563;0.05358123059512882;0.018375503112371124;0.020973532696152614;0.05088721346264143;0.06548744817225732;0.017590263631333914;0.01969310512640906;0.03864185354038592;0.05135599600392886;0.012935776103400916;0.01732351151417513;0.03857369390639004;0.05287293642127224
S5;Resting;0.007526000277647039;0.010376673977177073;0.06579809492637363;0.04533100718121239;0.006639571906015492;0.011796370631562286;0.07831340687854016;0.057657969786011974;0.008426817061548431;0.011467908833204837;0.08219080050998069;0.06332935966299888;0.007789545781497204;0.009209835973728651;0.06160354447197308;0.03950873650745472;0.0077059867851089975;0.009083688104639302;0.06339554561991297;0.04204240369731316;0.006874643329265006;0.010138758963515812;0.060543914620844456;0.04070630930107143;0.007488845619880583;0.009956619747458354;0.05900172661868339;0.033627158864304396
S6;Resting;0.008546755018351072;0.014735702749787137;0.0706589268276628;0.022947302694967576;0.008341649414225362;0.014885730086835266;0.07619185064612524;0.026279046680883173;0.008179693956582641;0.015166092215976017;0.08588261806424684;0.037296271994797854;0.007656328437700094;0.014504116391907391;0.09273569342670843;0.026191696156589766;0.007088038052223133;0.01304690955156455;0.12876519564469385;0.03321470205759978;0.007936908798571863;0.013910442870881083;0.06789793765401787;0.01848763903912992;0.006340676116966196;0.012510271013979503;0.07352025671633229;0.015251020236938133
S7;Resting;0.021631958463542548;0.02801827542893921;0.03841666971186131;0.02215595248797592;0.01765165808104676;0.029685408272458323;0.040016308865435106;0.023536836293379094;0.01852563684052725;0.029806464561947972;0.04475122182632637;0.02453125208028457;0.021845665898980796;0.035731782198978226;0.04616205694458889;0.02391655369755293;0.019446456132617643;0.033335831557003225;0.05702381342051794;0.028721708689421838;0.04936723099170075;0.03866633307180324;0.034994656070417074;0.019456924854719223;0.038964193654754335;0.03309157265521659;0.037248067586904805;0.021496856795529793
S10;Resting;0.005549822712486524;0.012721170912963;0.08927233999656192;0.012760996836618075;0.005553830598513997;0.011426415455855318;0.09307122586822553;0.012232643141782962;0.005603374384463404;0.011231463909645712;0.09906906264547587;0.012548596559853116;0.005547610811838157;0.013364910077281375;0.10211866344570869;0.013942745973575298;0.005719846749417914;0.01456515790323003;0.12755156114080116;0.015864259239137063;0.005551475570728613;0.011289234109950625;0.09199420006257585;0.01110134644756618;0.005733815251412298;0.012898100240824453;0.09964617748686866;0.011914598888825328
S11;Resting;0.00633031331501732;0.007662773929293214;0.08675946967822674;0.010578863727759145;0.006459375075178005;0.008060678855416815;0.10002802884072358;0.010762253958650742;0.005843722321796448;0.00832471813218292;0.10998433527049514;0.011396887845285936;0.006151852997964962;0.007490166627898653;0.09477923231286633;0.010886474601347954;0.005897107657928866;0.008100091847008346;0.11639352803351462;0.012883235690623794;0.005448804013057349;0.00812524345187189;0.1476366004987396;0.011246316240931774;0.005642021598053442;0.007274819521751274;0.12596360549094865;0.011520541853627312
S15;Resting;0.004492372353331748;0.010219932749823421;0.09571108873675972;0.0158860453530798;0.005053929655347025;0.011667084668891698;0.11881985416210517;0.017877660094272975;0.004952979471279175;0.01168620249104907;0.11920279199190702;0.016896915605577493;0.004275102040949876;0.010826508053382642;0.0904353422365431;0.015168591579932526;0.004646622588650069;0.01255858560847029;0.09794749170304791;0.0158511668027835;0.004382019442238492;0.010203680616463933;0.09538528433519218;0.013531658835287744;0.003563339476932512;0.00974474516953428;0.07739135521150292;0.012871543783618686
